DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,time,date
2020-05-15 00:00:00,0.0,0.0,48899.938095238096,14189595055.0,00:00:00,2020-05-15 00:00:00
2020-05-15 00:15:00,0.0,0.0,28401.0,14189595055.0,00:15:00,2020-05-15 00:00:00
2020-05-15 00:30:00,0.0,0.0,28401.0,14189595055.0,00:30:00,2020-05-15 00:00:00
2020-05-15 00:45:00,0.0,0.0,28401.0,14189595055.0,00:45:00,2020-05-15 00:00:00
2020-05-15 01:00:00,0.0,0.0,26515.999999999996,14189595055.0,01:00:00,2020-05-15 00:00:00
2020-05-15 01:15:00,0.0,0.0,18976.0,14189595055.0,01:15:00,2020-05-15 00:00:00
2020-05-15 01:30:00,0.0,0.0,18976.0,14189595055.0,01:30:00,2020-05-15 00:00:00
2020-05-15 01:45:00,0.0,0.0,18976.0,14189595055.0,01:45:00,2020-05-15 00:00:00
2020-05-15 02:00:00,0.0,0.0,18976.0,14189595055.0,02:00:00,2020-05-15 00:00:00
2020-05-15 02:15:00,0.0,0.0,18976.0,14189595055.0,02:15:00,2020-05-15 00:00:00
2020-05-15 02:30:00,0.0,0.0,18976.0,14189595055.0,02:30:00,2020-05-15 00:00:00
2020-05-15 02:45:00,0.0,0.0,18976.0,14189595055.0,02:45:00,2020-05-15 00:00:00
2020-05-15 03:00:00,0.0,0.0,18976.0,14189595055.0,03:00:00,2020-05-15 00:00:00
2020-05-15 03:15:00,0.0,0.0,18976.0,14189595055.0,03:15:00,2020-05-15 00:00:00
2020-05-15 03:30:00,0.0,0.0,18976.0,14189595055.0,03:30:00,2020-05-15 00:00:00
2020-05-15 03:45:00,0.0,0.0,18609.666666666668,14189595055.0,03:45:00,2020-05-15 00:00:00
2020-05-15 04:00:00,0.0,0.0,13481.0,14189595055.0,04:00:00,2020-05-15 00:00:00
2020-05-15 04:15:00,0.0,0.0,13481.0,14189595055.0,04:15:00,2020-05-15 00:00:00
2020-05-15 04:30:00,0.0,0.0,13481.0,14189595055.0,04:30:00,2020-05-15 00:00:00
2020-05-15 04:45:00,0.0,0.0,13481.0,14189595055.0,04:45:00,2020-05-15 00:00:00
2020-05-15 05:00:00,0.0,0.0,13481.0,14189595055.0,05:00:00,2020-05-15 00:00:00
2020-05-15 05:15:00,0.0,0.0,13481.0,14028885659.357141,05:15:00,2020-05-15 00:00:00
2020-05-15 05:30:00,0.0,0.0,942.3809523809523,14189595055.0,05:30:00,2020-05-15 00:00:00
2020-05-15 05:45:00,0.0,0.0,0.0,14189595055.0,05:45:00,2020-05-15 00:00:00
2020-05-15 06:00:00,331.9933333333332,320.4333333333334,25.93333333333333,14189595080.933332,06:00:00,2020-05-15 00:00:00
2020-05-15 06:15:00,587.1795238095237,566.977619047619,141.64285714285714,14189595196.64286,06:15:00,2020-05-15 00:00:00
2020-05-15 06:30:00,1284.2057142857143,1243.5561904761905,345.12857142857143,14189595400.128569,06:30:00,2020-05-15 00:00:00
2020-05-15 06:45:00,3450.897142857143,3373.658571428571,873.7619047619047,14189595928.761906,06:45:00,2020-05-15 00:00:00
2020-05-15 07:00:00,6733.253333333332,6614.38,2133.733333333333,14189597188.733335,07:00:00,2020-05-15 00:00:00
2020-05-15 07:15:00,8379.639999999998,8234.446666666665,4015.2000000000007,14189599070.199999,07:15:00,2020-05-15 00:00:00
2020-05-15 07:30:00,10109.33238095238,9919.995238095236,6287.171428571429,14189601342.171429,07:30:00,2020-05-15 00:00:00
